2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0481
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0384
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0370
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0390
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0424
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0482
2026-02-16 07:06:18 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0502
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0457
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0889
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0687
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0645
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0582
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0563
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0602
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0576
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0574
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0542
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0541
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0538
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0534
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0459
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0515
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0620
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0655
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0607
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0677
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0709
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0579
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0511
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0478
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0497
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0489
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0450
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0394
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0330
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0313
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0281
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0269
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0238
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0244
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0239
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0232
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0239
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0251
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0262
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0308
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0361
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0400
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0425
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0467
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0589
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0490
2026-02-16 07:06:19 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0572
